pnode,date_time,Time,total_lmp_da,forecast,rt,dec,purchase,better?,,,,,,,,,,,,,,,,
DUQ,11/14/2018 0:00,0:00,32.653709,44.09459216,32.165816,DA,32.653709,0.487893,,,,,,,,,,,,,,,,
DUQ,11/14/2018 1:00,1:00,31.168498,37.07859216,30.937889,DA,31.168498,0.230609,,,,,,,,,,,,,,,,
DUQ,11/14/2018 2:00,2:00,30.91545,35.97339216,30.529084,DA,30.91545,0.386366,,,,,,,,,,,,,,,,
DUQ,11/14/2018 3:00,3:00,31.761162,35.62659216,32.147867,DA,31.761162,-0.386705,,,,,,,,,,,,,,,,
DUQ,11/14/2018 4:00,4:00,33.281317,35.57939216,35.503774,DA,33.281317,-2.222457,,,,,,,,,,,,,,,,
DUQ,11/14/2018 5:00,5:00,38.940577,36.76699216,36.167343,RT,36.76699216,-2.773234,,,,,,,,,,,,,,,,
DUQ,11/14/2018 6:00,6:00,49.88242,43.55339216,40.549079,RT,43.55339216,-9.333341,,,,,,,,,,,,,,,,
DUQ,11/14/2018 7:00,7:00,59.207916,45.50339216,43.575813,RT,45.50339216,-15.632103,,,,,,,,,,,,,,,,
DUQ,11/14/2018 8:00,8:00,53.66988,46.79579216,42.862971,RT,46.79579216,-10.806909,,,,,,,,,,,,,,,,
DUQ,11/14/2018 9:00,9:00,50.883048,51.75419216,42.113404,DA,50.883048,8.769644,,,,,,,,,,,,,,,,
DUQ,11/14/2018 10:00,10:00,49.342907,47.77099216,67.106757,RT,47.77099216,17.76385,,,,,,,,,,,,,,,,
DUQ,11/14/2018 11:00,11:00,47.089175,44.80739216,61.868081,RT,44.80739216,14.778906,,,,,,,,,,,,,,,,
DUQ,11/14/2018 12:00,12:00,44.296974,49.01819216,42.544552,DA,44.296974,1.752422,,,,,,,,,,,,,,,,
DUQ,11/14/2018 13:00,13:00,44.109879,48.51259216,46.688264,DA,44.109879,-2.578385,,,,,,,,,,,,,,,,
DUQ,11/14/2018 14:00,14:00,40.107765,43.76019216,39.364237,DA,40.107765,0.743528,,,,,,,,,,,,,,,,
DUQ,11/14/2018 15:00,15:00,40.920386,43.17819216,41.766047,DA,40.920386,-0.845661,,,,,,,,,,,,,,,,
DUQ,11/14/2018 16:00,16:00,45.84174,51.57219216,96.262938,DA,45.84174,-50.421198,,,,,,,,,,,,,,,,
DUQ,11/14/2018 17:00,17:00,59.750481,65.84859216,80.928155,DA,59.750481,-21.177674,,,,,,,,,,,,,,,,
DUQ,11/14/2018 18:00,18:00,55.67889,52.44099216,55.069968,RT,52.44099216,-0.608922,,,,,,,,,,,,,,,,
DUQ,11/14/2018 19:00,19:00,53.115783,54.41179216,40.03806,DA,53.115783,13.077723,,,,,,,,,,,,,,,,
DUQ,11/14/2018 20:00,20:00,49.315976,55.35939216,40.264192,DA,49.315976,9.051784,,,,,,,,,,,,,,,,
DUQ,11/14/2018 21:00,21:00,47.497102,48.33099216,37.074076,DA,47.497102,10.423026,,,,,,,,,,,,,,,,
DUQ,11/14/2018 22:00,22:00,37.52634,45.06739216,34.941995,DA,37.52634,2.584345,,,,,,,,,,,,,,,,
DUQ,11/14/2018 23:00,23:00,35.121187,44.28659216,33.882477,DA,35.121187,1.23871,,,,,,,,,,,,,,,,
