pnode,Time,intercept,Load,Temp,Hum,Prec,Wind,forecast_rt_lmp
DUQ,0:00,-80.4,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,1:00,-83.3,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,2:00,-82.7,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,3:00,-82.4,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,4:00,-82.8,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,5:00,-83.2,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,6:00,-81,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,7:00,-86.4,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,8:00,-89.4,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,9:00,-85.5,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,10:00,-91.6,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,11:00,-91.8,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,12:00,-90,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,13:00,-89.8,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,14:00,-93.2,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,15:00,-92.9,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,16:00,-84.8,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,17:00,-70.7,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,18:00,-88.4,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,19:00,-85.9,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,20:00,-83.6,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,21:00,-88.1,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,22:00,-88.6,0.0588,-0.078,0.417,-17.6,0.932,
DUQ,23:00,-85.5,0.0588,-0.078,0.417,-17.6,0.932,
