City/State,Temp,Humidity,Precipitation,Wind Speed,Weather Condition
Aliquippa,30.6,60.0,0.0,6.3,Partly cloudy
Allison Park,29.0,60.0,0.0,8.1,Partly cloudy
Ambridge,30.6,60.0,0.0,6.3,Partly cloudy
Baden,30.6,60.0,0.0,6.3,Partly cloudy
Bairdford,28.1,57.0,0.0,6.5,Partly cloudy
Bakerstown,28.8,64.0,0.0,8.1,Partly cloudy
Beaver,31.7,59.0,0.0,7.4,Partly cloudy
Braddock,29.2,58.0,0.0,7.4,Partly cloudy
Carnegie,31.5,60.0,0.0,5.8,Partly cloudy
Cheswick,28.1,57.0,0.0,6.5,Partly cloudy
Clinton,30.1,63.0,0.0,5.8,Partly cloudy
Conway,31.7,59.0,0.0,7.4,Partly cloudy
Coraopolis,30.1,63.0,0.0,5.8,Partly cloudy
Crescent Heights,32.1,53.0,0.0,7.2,Partly cloudy
Curtisville,28.1,57.0,0.0,6.5,Partly cloudy
Dravosburg,29.0,56.0,0.0,9.2,Partly cloudy
Duquesne,78.4,76.0,0.01,13.9,Patchy rain possible
East Mc Keesport,29.7,55.0,0.0,5.8,Partly cloudy
East Pittsburgh,29.7,55.0,0.0,5.8,Partly cloudy
Freedom,31.7,59.0,0.0,7.4,Partly cloudy
Georgetown,31.2,62.0,0.0,8.1,Partly cloudy
Gibsonia,29.0,60.0,0.0,8.1,Partly cloudy
Glassport,29.0,56.0,0.0,9.2,Partly cloudy
Glenshaw,31.9,60.0,0.0,7.2,Partly cloudy
West Homestead,29.0,56.0,0.0,9.2,Partly cloudy
Hookstown,30.8,64.0,0.0,8.3,Partly cloudy
Imperial,55.4,41.0,0.0,11.6,Partly cloudy
Indianola,28.1,57.0,0.0,6.5,Partly cloudy
Industry,77.9,78.0,0.19,9.8,Light rain shower
Leetsdale,30.6,60.0,0.0,6.3,Partly cloudy
Fontvieille,54.2,67.0,0.26,14.5,Light rain
Mckeesport,29.0,56.0,0.0,9.2,Partly cloudy
Midland,30.8,64.0,0.0,8.3,Partly cloudy
Monaca,84.2,69.0,0.21,10.5,Moderate or heavy rain shower
Monroeville,29.7,55.0,0.0,5.8,Partly cloudy
New Brighton,60.2,86.0,0.09,9.6,Light rain shower
North Versailles,29.7,55.0,0.0,5.8,Partly cloudy
Oakmont,29.2,58.0,0.0,7.4,Partly cloudy
Pittsburgh,31.9,60.0,0.0,7.2,Partly cloudy
Presto,58.5,77.0,1.0,16.6,Moderate or heavy rain shower
Rochester,31.7,59.0,0.0,7.4,Partly cloudy
Russellton,28.1,57.0,0.0,6.5,Partly cloudy
Sewickley,30.1,63.0,0.0,5.8,Partly cloudy
Shippingport,30.8,64.0,0.0,8.3,Partly cloudy
South Heights,30.6,60.0,0.0,6.3,Partly cloudy
Springdale,28.1,57.0,0.0,6.5,Partly cloudy
Turtle Creek,29.7,55.0,0.0,5.8,Partly cloudy
Verona,45.8,82.0,0.47,8.7,Moderate or heavy rain shower
West Mifflin,31.0,54.0,0.0,6.0,Partly cloudy
Wildwood,29.0,60.0,0.0,8.1,Partly cloudy
Wilmerding,29.7,55.0,0.0,5.8,Partly cloudy
